"atti;attitude;attitude",
"batcrit;battery critical;battery critical",
"batlow;low battery;low battery",
"camcenter;camera center;camera center",
"camfix;camera fixed;camera fixed",
"cammanual;camera manual;camera manual",
"capacity;capacity;capacity",
"engdis;engine disabled;engine disabled",
"engoff;engine off;engine off",
"engon;engine on;engine on",
"flaps1;flaps 1;flaps 1",
"flaps2;flaps 2;flaps 2",
"flapsdn;flaps down;flaps down",
"flapsup;flaps up;flaps up",
"fltmode1;flight mode one;flight mode one",
"fltmode2;flight mode two;flight mode two",
"fltmode3;flight mode three;flight mode three",
"fltmode4;flight mode four;flight mode four",
"fltmode5;flight mode five;flight mode five",
"fltmode6;flight mode six;flight mode six",
"fltmode7;flight mode seven;flight mode seven",
"fltmode8;flight mode eight;flight mode eight",
"fsoff;failsafe off;failsafe off",
"fson;failsafe on;failsafe on",
"geardn;gear down;gear down",
"gearup;gear upp;gear upp",
"gps;gps;GPS",
"svd;Saved;Saved",
"hirates;hi rates;hi rates",
"htoff;head tracker off;head tracker off",
"hton;head tracker on;head tracker on",
"ioc;ioc;I-O-C",
"iocoff;ioc off;I-O-C off",
"lowrates;lowrates;lowrates",
"manual;manual;manual",
"normal;normal;normal",
"nrmmod;normal mode;normal mode",
"elethrs;Elevator throws!;Elevator throws!",
"eleexpo;Elevator curve;Elevator curve",
"thrhold;throttle locked;throttle locked",
"thrrel;throttle released;throttle released",
"rudthr;Rudder ;Rudder throws!",
"rudexp;Rudder curve;Rudder curve",
"curused;Batt empty;Out of juice!",
"batfity;Battery 50%;Battery 50%",
"sfton;Safety On;Safety, on!",
"spldwn;Spolers down;Spoilers down",
"spl1;Spoilers 1;Spoilers, 1",
"spl2;Spoilers 2;Spoilers, 2",
"prf1;Profile, 1;Profile 1",
"prf2;Profile, 2;Profile 2",
"prf3;Profile 3;Profile 3",
"hrzmd;Horizon mode;Horizon mode",
"rtmod;Rate Mode;Rate mode",
"armd;armed;Armed",
"dsrmd;Disarmed;Disarmed",
